  [1,] 73.93444 46.50789 35.20761
  [2,] 71.01812 49.35406 24.74031
  [3,] 72.71777 52.99521 39.92030
  [4,] 74.07325 46.53185 51.55971
  [5,] 67.45221 52.11228 60.72842
  [6,] 69.70303 59.11212 43.31919
  [7,] 67.17333 53.98222 41.33778
  [8,] 70.39788 69.74566 45.90077
  [9,] 65.46512 60.51929 61.82019
 [10,] 68.21739 32.95908 54.14152
 [11,] 67.55333 40.49040 59.71148
 [12,] 66.07704 70.93385 26.28171
 [13,] 64.37219 70.65033 19.31656
 [14,] 68.94504 78.33333 43.29142
 [15,] 64.24123 24.21573 32.41764
 [16,] 63.69266 30.02843 21.86861
 [17,] 59.88437 26.71014 17.27825
 [18,] 62.30856 22.98930 44.38379
 [19,] 62.87950 79.74460 54.06539
 [20,] 64.12012 78.74615 30.27041
 [21,] 61.79487 33.47521 13.62393
 [22,] 61.44257 88.57095 31.50676
 [23,] 61.69481 43.29740 26.19697
 [24,] 63.70506 66.72013 38.08611
 [25,] 58.51457 36.11447 12.47271
 [26,] 57.26269 33.87072 25.25974
 [27,] 57.85666 33.59613 65.82857
 [28,] 58.62768 53.01824 31.30794
 [29,] 53.42912 29.56754 33.99618
 [30,] 55.38650 80.74493 57.47708
 [31,] 56.74642 55.35378 26.04090
 [32,] 53.17156 41.66844 27.86933
 [33,] 58.10406 65.30030 37.53518
 [34,] 54.41225 86.95950 29.64071
 [35,] 56.89583 46.50000 15.46528
 [36,] 57.75455 63.02727 27.77273
 [37,] 54.37848 21.19473 50.42679
 [38,] 49.74136 24.08946 39.55182
 [39,] 49.79535 35.33759 60.32001
 [40,] 55.03072 63.32082 36.47782
 [41,] 50.13214 70.93214 30.65714
 [42,] 51.12658 38.90564 13.38205
 [43,] 51.59909 54.57818 40.30364
 [44,] 49.12844 23.28768 49.91940
 [45,] 51.88358 68.86175 41.03534
 [46,] 48.72066 81.85329 27.21596
 [47,] 49.98740 50.67457 71.34618
 [48,] 48.84537 65.77503 67.03214
 [49,] 48.60259 41.91361 48.63931
 [50,] 48.94127 55.94951 57.10716
 [51,] 48.18214 81.09786 43.26786
 [52,] 48.58690 87.94352 51.81818
 [53,] 50.05882 44.81618 27.11029
 [54,] 48.71905 90.25869 32.57163
 [55,] 45.06701 27.40206 23.82474
 [56,] 45.11590 29.82480 28.80323
 [57,] 45.09465 31.17284 19.32510
 [58,] 45.08271 37.20301 33.29925
 [59,] 45.19540 35.91379 18.85057
 [60,] 45.42857 40.43750 20.56250
 [61,] 45.24528 43.94340 26.32075
 [62,] 44.97368 43.35526 30.64035
 [63,] 41.15559 35.34303 58.18040
 [64,] 42.43660 47.52871 70.39593
 [65,] 42.16795 58.90150 56.21879
 [66,] 41.87685 63.45340 67.25643
 [67,] 41.99866 81.22550 27.28188
 [68,] 42.08294 89.20327 32.74182
 [69,] 41.94136 81.86139 44.21630
 [70,] 29.66320 28.80161 16.39915
 [71,] 37.96130 29.92913 34.39217
 [72,] 38.14508 26.77539 41.00967
 [73,] 40.90482 38.62423 13.18789
 [74,] 42.41194 42.45672 47.23582
 [75,] 39.64806 54.61589 40.36424
 [76,] 40.93772 71.33218 30.71972
 [77,] 41.62465 88.76429 51.46345
 [78,] 39.40520 23.70506 50.42626
 [79,] 29.03558 31.79588 12.11985
 [80,] 38.75252 69.38833 41.07445
 [81,] 26.89275 29.81420 21.57515
 [82,] 33.11352 35.18458 11.60095
 [83,] 33.07876 33.78578 67.35689
 [84,] 36.91073 87.30893 29.25276
 [85,] 33.28524 34.23120 24.52981
 [86,] 37.05575 41.91754 27.32288
 [87,] 39.46860 46.14493 26.70048
 [88,] 34.01840 22.89667 51.63270
 [89,] 25.42087 50.61365 62.62699
 [90,] 35.19847 78.95513 58.25222
 [91,] 31.52748 53.50423 31.21142
 [92,] 25.44957 59.22508 62.40491
 [93,] 35.53929 63.47143 36.45714
 [94,] 33.42580 55.84982 26.12809
 [95,] 32.25752 65.83929 37.59680
 [96,] 25.54482 79.49736 30.37083
 [97,] 29.55271 89.63744 30.92906
 [98,] 32.59748 46.49057 15.67925
 [99,] 32.47177 63.71371 27.59677
[100,] 27.06471 22.40445 32.50354
[101,] 29.17037 43.90071 26.23312
[102,] 23.97978 70.62342 20.24094
[103,] 27.30408 79.87539 53.40713
[104,] 22.03139 70.72870 27.90508
[105,] 27.43613 23.50334 46.03384
[106,] 23.38584 33.38071 55.65753
[107,] 22.85428 40.20595 61.09591
[108,] 19.30897 47.93056 25.13466
[109,] 26.63898 66.51017 37.40678
[110,] 17.36879 47.59119 53.56738
[111,] 21.03645 70.83774 47.09793
[112,] 20.96932 78.45095 43.40865
[113,] 23.06024 54.92771 41.52209
[114,] 17.08373 52.49475 39.70933
[115,] 19.80917 60.23140 43.66491
[116,] 17.42005 44.71717 35.61238
